id,name
3TVXtAsR1Inumwj472S9r4,Drake
0c173mlxpT3dSFRgMO8XPh,Big Sean
67nwj3Y5sZQLl72VNUHEYE,Wale
17lzZA2AlOHwCwFALHttmp,2 Chainz
1sBkRIssrMs1AbVkOJbc7a,Rick Ross
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q
5OrB6Jhhrl9y2PK0pSV4VP,Young Money
20sxb77xiYeusSH8cVdatc,Meek Mill
6vXTefBL93Dj5IqAWq6OTv,French Montana
28ExwzUQsvgJooOI0X1mr3,Jay Rock
6f4XkbvYlXMH0QgVRzW0sM,Waka Flocka Flame
31HjiqargV4NAw4GZqUale,Ace Hood
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
0ONHkAv9pCAFxb0zJwDNTy,Pusha T
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi
5oNgAs7j5XcBMzWv3HAnHG,DJ Drama
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle
0YWxKQj2Go9CGHCp77UOyy,Fabolous
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti
35sCXuy5gN6Or69rZ9vqBs,Birdman
4yBK75WVCQXej1p04GWqxH,Jeezy
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan
7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
4IVAbR2w4JJNJDDRFP3E83,6LACK
6g8AmloI8egfrr3dm3SnUL,TWENTY88
3KV3p5EY4AvKxOlhGHORLg,Jeremih
4W49e48G0gg1pucAN6JiGH,Yo Trane
45AMD9qU0ERQY5RvR7deHR,Che Ecru
7e1ICztHM2Sc4JNLxeMXYl,dvsn
21WS9wngs9AqFckK7yYJPM,PnB Rock
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
6KZDXtSj0SzGOV705nNeh3,Kid Ink
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign
0GeeIVcvGA8GSlWsoY1dkG,Vory
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina
1RyvyyTE3xzB2ZywiAwp0i,Future
50co4Is1HCEo8bhOyUWKpn,Young Thug
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane
15iVAtD3s3FsQR4w1v6M0P,Chief Keef
3hcs9uc56yIGFCSy9leWe7,Lil Durk
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph
6AMa1VFQ7qCi61tCRtVWXe,Jim Jones
6Uh8uJyN9g7oFjDK16nJgb,Juelz Santana
45a6gCQWq61lIUDmr1tKuO,Bun B
7yO4IdJjCEPz7YgZMe25iS,A$AP Mob
1URnnhqYAYcrqrcwql10ft,21 Savage
0VRj0yCOv2FXJNP47XQnx5,Quavo
2hlmm7s2ICUX0LVIhVFlZQ,Gunna
4Gso3d4CscCijv0lmajZWs,Don Toliver
6oMuImdp5ZcFhWP0ESe6mG,Migos
6icQOAFXDZKsumw3YXyusw,Lil Yachty
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg
0WOxhx4hikIsyF3CRPLC8W,Famous Dex
46SHBwWsqBkxI7EeeBEQG7,Kodak Black
5gCRApTajqwbnHHPbr2Fpi,Juicy J
0CKa42Jqrc9fSFbDjePaXP,Big K.R.I.T.
4q3ewBCX7sLwd24euuV69X,Bad Bunny
1i8SpTcr7yvPOmcqrbnVXY,Ozuna
0qTZZWLzuD59Un5r1speHm,Chris Jedi
5hdhHgpxyniooUiQVaPxQ0,Nio Garcia
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
1fctva4kpRbg2k3v7kwRuS,Rvssian
47MpMsUfWtgyIIBEFOr4FE,Lunay
6nVcHLIgY5pE2YCl8ubca1,Jhayco
790FomKkXshlbRYZFtlgla,KAROL G
6kq4GHwUcUojGIu0ziSNXf,Amenazzy
0GM7qgcRCORpGnfcN2tCiB,Tainy
00XhexlJEXQstHimpZN910,Brytiago
2R21vXR83lH98kGeO99Y66,Anuel AA
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers
5bWUlnPx9OYKsLiUJrhCA1,Jon Z
7iK8PXO48WeuP03g8YR51W,Myke Towers
2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky
1jSjfSgDjedJdi5MoyRu78,Lary Over
1GAymyGBvB4gQy5Z5LZ1Wj,Lalo Ebratt
64aJYyrXljOodnUG6jvhRD,DJ Luian
